UID,SFDC Account ID,Portal,Name,EmailDomain,In Deals,Allocated,Declined/Pass,Other
4171832273,,Santander,Senior Lifestyle Corporation,seniorlifestyle.com,1,0,0,1
16935494,,Santander,Servis First,servisfirstbank.com,3,0,0,3
3880513685,,Santander,SG Cowen Securities Corporation,morganstanley.com,0,0,0,0
8534043156,,Santander,Shenkman Capital Management,shenkmancapital.com,1,0,0,1
7715700365,,Santander,Shinhan Bank,shinhan.com,1,0,1,0
18088101,,Santander,Shipman & Goodwin LLP,goodwin.com,1,0,0,1
6775999259,,Santander,Sidley Austin LLP,sidley.com,1,0,0,1
9971436199,,Santander,Siemens Financial Services,siemens.com,2,0,2,0
4271216663,,Santander,Signature Bank,signatureny.com,4,0,3,1
1149111634,,Santander,Silicon Valley Bank,svb.com,6,1,4,1
4971615481,,Santander,Sills Cummis & Gross,sillscummis.com,1,1,0,0
6491329993,,Santander,Silverpeak Real Estate Finance,silverpeakfinance.com,0,0,0,0
2283615341,,Santander,Silverpoint Capital,silverpointcapital.com,0,0,0,0
1688952563,,Santander,Sinopac,sinopac.com,1,0,1,0
8083607306,,Santander,SKA Consulting,skaconsulting.com,1,0,0,1
6940300982,,Santander,Soceite Generale,sgcib.com,0,0,0,0
4288492911,,Santander,Societe Generale,sgbcy.com,5,1,1,3
2748834599,,Santander,Solar Capital,solarcapltd.com,1,0,1,0
7912435787,,Santander,South Shore Bank,southshorebank.com,0,0,0,0
8421750878,,Santander,South State Bank,southstatebank.com,1,0,1,0
6306102175,,Santander,Southside Bank,southside.com,5,0,3,2
8995446697,,Santander,SouthState Bank,atlcapbank.com,2,0,1,1
9180553864,,Santander,"Sovereign Securities Corporation, LLC",sovereignbank.com,16,0,0,16
1849935075,,Santander,Spencer Savings Bank,spencersavings.com,0,0,0,0
369741077,,Santander,Spinnaker Investments,spinnakerinvestmentsllc.com,1,0,1,0
5749382813,,Santander,SPP Capital Partners,sppcapital.com,1,0,1,0
7705613721,,Santander,Squire Sanders and Dempsey LLP,ssd.com,4,2,1,1
2916175324,,Santander,Standard Chartered Bank,us.standardchartered.com,0,0,0,0
5000486252,,Santander,Standard Federal Bank,abnamro.com,0,0,0,0
1523741461,,Santander,Stanfield Capital Partners,stanfieldcp.com,0,0,0,0
6176637723,,Santander,Starwood Capital Group,starwood.com,2,0,0,2
4965370625,,Santander,State Bank of India,statebank.com,1,0,1,0
9701729033,,Santander,State Bank of Long Island,statebankofli.com,2,0,2,0
6912902104,,Santander,State Farm Life Insurance,statefarm.com,0,0,0,0
2671406508,,Santander,State Street,statestreet.com,0,0,0,0
7204737722,,Santander,Stearns Weaver,stearnsweaver.com,1,0,0,1
3910672495,,Santander,Sterling Bank,snb.com,18,1,12,5
81761925,,Santander,Stifel Bank & Trust,stifelbank.com,6,0,3,3
8586503512,,Santander,Stoneham Bank,stonehambank.com,0,0,0,0
7653048232,,Santander,Stradley,stradley.com,1,0,1,0
9447024543,,Santander,Sullivan & Worcester,sandw.com,1,0,1,0
2389159228,,Santander,Sumitomo Mitsui Banking Corp,smbcgroup.com,3,0,2,1
7471750099,,Santander,"Sumitomo Trust & Banking Co., Ltd.",sumitomotrust.co.jp,0,0,0,0
5287454256,,Santander,Sun Life Assurance of Canada,sunlife.com,0,0,0,0
2006204255,,Santander,Sun National Bank,sunnb.com,7,0,6,1
8891726886,,Santander,"SunAmerica Investments, Inc.",sunamerica.com,0,0,0,0
712235239,,Santander,Sunflower Bank,sunflowerbank.com,1,0,0,1
9956320072,,Santander,SunTrust Bank,suntrust.com,25,0,18,7
8734577154,,Santander,Susquehanna Bank,susquehanna.net,7,3,3,1
1835882831,,Santander,Symphony Asset Management,symphonyasset.com,0,0,0,0
6790899172,,Santander,Synovus (Bank of North Georgia),synovus.com,16,0,8,8
1800313885,,Santander,TAB Bank,tabbank.com,3,0,0,3
9809801413,,Santander,Taiwan Business Bank,mail.tbb.com.tw,0,0,0,0
9676965773,,Santander,"Tarlow, Breed, Hart & Rodgers",tbhr-law.com,1,1,0,0
2588338902,,Santander,TBK Bank,tbkbank.com,0,0,0,0
4160330928,,Santander,TCF Bank,tcfbank.com,3,0,3,0
2432641155,,Santander,"TD Bank, N.A.",td.com,57,10,32,15
3487256583,,Santander,"TD Bank, N.A.",td.com,7,0,4,3
9209032249,,Santander,TD BankNorth,td.com,46,2,25,19
5249655406,,Santander,TD Credit Arbitrage,TDSecurities.com,0,0,0,0
1514006227,,Santander,TD Securities,tdsecurities.com,4,0,2,2
5137017739,,Santander,TD Securities,tdsecurities.com,0,0,0,0
4469630524,,Santander,"Tennenbaum & Co., LLC",tennenco.com,0,0,0,0
4229094504,,Santander,Texas Bank,texasbank.com,0,0,0,0
4280417425,,Santander,Texas Capital Bank,texascapitalbank.com,10,0,5,5
2375161909,,Santander,Textron Financial Corp.,textronfinancial.com,1,0,1,0
6729010633,,Santander,The Bank ABC,theabcbank.com,1,0,0,1
6747643061,,BoW,California Commerce Bank,ccbusa.com,0,0,0,0
5230608843,,Santander,The Davis Companies,thedaviscompanies.com,1,1,0,0
1243701513,,Santander,The Farmers Bank,farmbk.com,1,1,0,0
8127773223,,Santander,The Private Bank,theprivatebank.com,9,1,6,2
3497571718,,Santander,Thompson & Knight LLP,tklaw.com,2,0,0,2
6280039434,,Santander,Thompson Hine LLP,ThompsonHine.com,1,0,0,1
3203054214,,Santander,Thrivent Financial for Lutherans,thrivent.com,0,0,0,0
8636726745,,Santander,TIAA-CREF,tiaa-cref.org,6,0,5,1
2881652308,,Santander,Timberline Bank,timberlinebank.com,1,0,0,1
63683903,,Santander,Toronto Dominion Bank,td.com,3,0,3,0
5099004106,,Santander,Torrington Savings,torringtonsavings.bank,1,0,1,0
464869027,,Santander,TotalBank,totalbank.com,2,0,1,1
5501568251,,Santander,Transamerica Commerical Finance,transamerica.com,0,0,0,0
3718820729,,Santander,Travelers Insurance Company,cunamutual.com,0,0,0,0
8418567496,,Santander,TriLyn LLC,trilyn.com,1,0,1,0
4299283959,,Santander,Tristate Capital,tscbank.com,3,1,2,0
385038145,,Santander,TriState Capital Bank,tscbank.com,18,2,10,6
7442567213,,Santander,Troutman,troutman.com,1,1,0,0
9515941567,,Santander,Truist,TRUIST.com,12,2,7,3
4620266994,,Santander,Trust Company of the West,tcw.com,0,0,0,0
5328260674,,Santander,Trustmark Bank,trustmark.com,15,1,5,9
7588510226,,Santander,"Tucker Arensberg, P.C.",tuckerlaw.com,0,0,0,0
3818261916,,Santander,U.S. Bank,usbank.com,16,0,11,5
2933378201,,Santander,UBS AG,ubs.com,0,0,0,0
499496929,,Santander,UBS Warburg,ubs.com,0,0,0,0
9970715704,,Santander,UFJ Bank (Sanwa),sanwabank.co.jp,0,0,0,0
4224197332,,Santander,ULLICO,ullico.com,4,2,2,0
1203194296,,Santander,UMB Bank,umb.com,16,2,6,8
1370166862,,Santander,Umpqua Bank,umpquabank.com,1,0,1,0
2382576732,,Santander,UniBank,unibank.com,0,0,0,0
1373852784,,Santander,Union Bank & Trust,bankatunion.com,1,0,1,0
5959344393,,Santander,Union Bank of California,unionbank.com,22,1,13,8
6389629534,,Santander,Union Labor Life Insurance,ullico.com,1,0,1,0
4349154791,,Santander,Union Planters Bank,upbna.com,0,0,0,0
7809649345,,Santander,Union Savings Bank,unionsavings.com,2,0,1,1
5089366796,,Santander,Union State Bank,aol.com,0,0,0,0
9865369045,,Santander,United Bank ,bankwithunited.com,13,3,3,7
2323982711,,Santander,United Bank - WV,bankwithunited.com,9,3,5,1
5883005108,,Santander,United Bank of Virginia,unitedbank-va.com,1,0,1,0
7020227533,,Santander,United Bank Virginia,bankwithunited.com,2,0,2,0
352952883,,Santander,United Missouri Bank,umb.com,0,0,0,0
3743124997,,Santander,United Nations Federal Credit Union,unfcu.com,0,0,0,0
7393438721,,Santander,United World Chinese Bank,uwccb.com,0,0,0,0
9076820781,,Santander,Univest Financial,univest.net,4,2,2,0
7106804832,,Santander,UNUM Provident,unum.com,0,0,0,0
5861613844,,Santander,UOB Group,uobgroup.com,4,1,2,1
6824525527,,Santander,UPS Capital Corporation,ups.com,0,0,0,0
8857345827,,Santander,US Bank,usbank.com,21,1,16,4
2907195652,,Santander,USAmeriBank,usameribank.com,1,0,0,1
9811362232,,Santander,Valley National Bank,valley.com,22,4,9,9
5060550027,,Santander,Van Kampen Merrit,vankampen.com,0,0,0,0
3088566147,,Santander,Vectra Bank Colorado,vectrabank.com,4,1,2,1
6703440298,,Santander,Veritex,veritexbank.com,2,0,0,2
3344964162,,Santander,VIST Financial,vistbank.com,6,1,3,2
9852881178,,Santander,Wachovia Bank,wachovia.com,3,0,3,0
4463721848,,Santander,Wainwright Bank & Trust Company,wainwrightbank.com,2,0,2,0
3451795121,,Santander,Washington Capital,wa-cap.com,1,1,0,0
1080378646,,Santander,Washington Mutual,wamu.net,0,0,0,0
2944422615,,Santander,Washington Trust Company,washtrust.com,26,7,14,5
4747657778,,Santander,Webster Bank,websterbank.com,46,3,33,10
1776132203,,Santander,Webster Business Credit,websterbcc.com,8,3,2,3
9000959387,,Santander,Weir & Partners,weirpartners.com,1,1,0,0
6956777531,,Santander,Weiss Serota,wsh-law.com,2,0,0,2
8636232026,,Santander,Weissmann Zucker Euster Morochnik & Garber P.C.,wzlegal.com,1,0,0,1
5559173545,,Santander,Wellington Management,wellington.com,1,0,0,1
9467233337,,Santander,Wells Fargo Bank,wellsfargo.com,21,2,12,7
11758349,,Santander,Wells Fargo Business Credit,wellsfargo.com,2,1,1,0
9527203929,,Santander,Wells Fargo Foothill,wellsfargo.com,1,0,0,1
4470997072,,Santander,Wesbanco,wesbanco.com,3,0,2,1
4061293665,,Santander,Westdeutsche Immobilien Bank,westimmobank.com,1,0,0,1
8181369542,,Santander,Western Alliance,westernalliance.com,2,0,1,1
7228576594,,Santander,Westfield Bank,westfieldbank.com,1,0,1,0
781378322,,Santander,Westminster Funds,westminsterfunds.com,1,0,0,1
4211619128,,Santander,Westpac Banking Corp.,westpac.com.au,0,0,0,0
6889529619,,Santander,Wheaton Bank,wintrust.com,2,1,1,0
2734404296,,Santander,White and Williams LLP,whiteandwilliams.com,1,0,0,1
7673097125,,Santander,White Oak Commercial Finance,whiteoakabl.com,1,0,1,0
373559123,,Santander,Whitney National,whitneybank.com,0,0,0,0
9039251602,,Santander,Willkie,willkie.com,1,0,0,1
399580912,,Santander,"Willkie, Farr & Gallagher",willkie.com,0,0,0,0
8039831254,,Santander,"Willkie, Farr & Gallagher",willkie.com,1,0,0,1
3188927325,,Santander,Wind Turbine and Energy Cables Corp.,wtecenergy.com,0,0,0,0
3546388962,,Santander,Windels Marx,windelsmarx.com,3,2,0,1
2752918531,,Santander,Winstead,winstead.com,1,0,0,1
630325653,,Santander,Winston & Strawn,mcguirewoods.com,1,1,0,0
3225705866,,Santander,Wintrust Bank,wintrust.com,12,2,5,5
3453069558,,Santander,Wintrust Loan Capital Markets,bokfinancial.com,2,0,2,0
8185404367,,Santander,Woodforest Bank,woodforest.com,1,0,1,0
2314466653,,Santander,Woodmen Accident and Life Company,assurity.com,0,0,0,0
3049609759,,Santander,WSFS Bank,wsfsbank.com,6,1,2,3
2328974944,,Santander,Ziegler Capital Markets Group,ziegler.com,4,0,1,3
1633053888,,STBank,BMO Harris,bmo.com,1,0,1,0
8080819083,,STBank,Buchanan Ingersoll & Rooney PC,bipc.com,1,0,0,1
4764703724,,STBank,Cadence Bank,cadencebank.com,1,0,0,1
1402265296,,STBank,CIT Bank,cit.com,1,0,1,0
3012631211,,STBank,Citizens Bank,citizensbank.com,1,0,1,0
8075812333,,STBank,Citymark Capital,citymarkcapital.com,1,0,0,1
21301442,,STBank,Clark Hill,clarkhill.com,1,0,0,1
9868246686,,STBank,First Horizon,firsthorizon.com,0,0,0,0
9664975746,,STBank,First Horizon,firsthorizon.com,1,0,0,1
6135161178,,STBank,First Tennessee Bank,firsttennessee.com,1,0,0,1
585820913,,STBank,Holland & Knight,hklaw.com,1,0,0,1
7634838248,,STBank,Huntington Bank,huntington.com,1,0,0,1
6461993472,,STBank,M&T Bank,mtb.com,1,0,1,0
9958662606,,STBank,OFG Bank,orientalbank.com,1,0,1,0
2580921068,,STBank,PNC Mezzanine Capital,pncequity.com,1,0,0,1
9059266738,,STBank,RESCON,gorescon.com,1,0,0,1
6613882769,,STBank,ServisFirst Bank,servisfirstbank.com,1,0,1,0
8348773754,,STBank,TriState Capital,tscbank.com,1,0,0,1
1476324847,,STBank,Webster Bank,websterbank.com,1,0,0,1
6403500026,,Sunflower,ABC Bank,theabcbank.com,2,0,1,1
6217696788,,Sunflower,Academy Bank,academybank.com,2,0,2,0
9490650219,,Sunflower,"Accurate Monitoring Holdings, LLC",accurateiom.com,1,1,0,0
6563608594,,Sunflower,Ally Bank,ally.com,1,0,1,0
2223708061,,Sunflower,Alma Bank,almabank.com,1,0,1,0
4138288267,,Sunflower,Amarillo National Bank,anb.com,1,0,1,0
8147207638,,Sunflower,Amegy Bank,amegybank.com,4,0,2,2
5303274757,,Sunflower,American Commercial Bank & Trust,acbandt.com,1,0,1,0
990257582,,Sunflower,American National Bank of TX,anbtx.com,1,0,1,0
7043456813,,Sunflower,Ameris Bank,amerisbank.com,4,0,3,1
2281702818,,Sunflower,Arvest Bank,arvest.com,2,0,1,1
6612574174,,Sunflower,Associated Bank,associatedbank.com,2,0,1,1
8376978201,,Sunflower,Availa Bank,availa.bank,1,0,1,0
1711284844,,Sunflower,Axos Bank,axosbank.com,2,0,2,0
5291293448,,Sunflower,b1 Bank,b1bank.com,2,0,2,0
7828245168,,Sunflower,BancorpSouth,bxs.com,1,0,1,0
4176600652,,Sunflower,Banesco,banescousa.com,1,0,1,0
1431960948,,Sunflower,Bank of America,bofa.com,1,0,1,0
8839595364,,Sunflower,Bank of Blue Valley,BankBV.com,1,1,0,0
815788101,,Sunflower,Bank of Hope,bankofhope.com,3,0,2,1
8857766359,,Sunflower,Bank of Oklahoma / Texas,bankoftexas.com,1,0,1,0
8128088877,,Sunflower,Bank of the West,Bankofthewest.com,2,0,1,1
3036667112,,Sunflower,Bank United,bankunited.com,1,0,1,0
1419840174,,Sunflower,BankUnited,bankunited.com,3,0,1,2
30525124,,Sunflower,Bell Bank,bell.bank,2,1,1,0
6844296859,,Sunflower,BHI,bhiusa.com,1,0,1,0
7644415933,,Sunflower,BICSA,bicsa.com,1,0,1,0
3901495756,,Sunflower,Biynah Industrial Partners,biynahpartners.com,1,0,1,0
8077832972,,Sunflower,BlueSky Bank,bluesky.bank,7,0,7,0
1908836533,,Sunflower,BMO,bmo.com,1,0,1,0
9906376808,,Sunflower,BOKF,bokf.com,10,0,8,2
5097094236,,Sunflower,Broadway Bank,broadway.bank,1,0,1,0
1705737951,,Sunflower,Brown Bothers Harriman,bbh.com,2,0,1,1
5359656787,,Sunflower,Busey Bank,busey.com,1,0,1,0
1614753722,,Sunflower,Byline Bank,bylinebank.com,4,0,3,1
5745696567,,Sunflower,CA Bank of Commerce,bankcbc.com,1,0,1,0
8649849061,,Sunflower,Cadence Bank,cadencebank.com,4,0,2,2
467712823,,Sunflower,California Bank & Trust,calbt.com,1,0,0,1
9642167145,,Sunflower,Cap Fed,capfed.com,1,0,0,1
9904123628,,Sunflower,Capital One,capitalone.com,1,0,1,0
4341840319,,Sunflower,Car Capital,carcapital.com,1,0,0,1
4055635754,,Sunflower,Cathay Bank,cathaybank.com,3,0,2,1
1598423189,,Sunflower,CIBC,cibc.com,4,0,3,1
1666786357,,Sunflower,"CIT Bank, N.A.",firstcitizens.com,3,0,1,2
2651101162,,Sunflower,Citizens National Bank,bonvenubank.com,2,0,1,1
1682283227,,Sunflower,City National Bank,cnb.com,5,0,3,2
8414812738,,Sunflower,City National Bank of FL,bcicmg.com,1,0,1,0
2583727436,,Sunflower,CNBTX,cnbtx.com,2,0,2,0
4343583606,,Sunflower,CoBank,cobank.com,2,0,1,1
6939430804,,Sunflower,Comerica Bank,comerica.com,4,0,2,2
3020538457,,Sunflower,Commerce Bank,commercebank.com,6,0,6,0
2830161964,,Sunflower,Commerce Street Capital,cstreetcap.com,2,0,1,1
3280871261,,Sunflower,Core First Bank,corefirstbank.com,1,0,1,0
529625803,,Sunflower,Cornerstone Capital,cornerstonecapital.com,6,1,5,0
3464374816,,Sunflower,Country Club Bank,countryclubbank.com,1,0,1,0
7745251211,,Sunflower,CrossFirst Bank,crossfirstbank.com,14,2,6,6
1628082849,,Sunflower,CTBC,ctbcbankusa.com,1,0,1,0
175025693,,Sunflower,Dallas Capital Bank,dallascapitalbank.com,2,0,0,2
4321746456,,Sunflower,Dentons,dentons.com,1,0,0,1
148480116,,Sunflower,Deutsche Bank,db.com,1,0,1,0
3669308809,,Sunflower,Dime Bank,dime.com,1,0,1,0
3337757189,,Sunflower,Dominion Bank,dominionbanking.com,6,0,4,2
6619616426,,Sunflower,East West Bank,eastwestbank.com,7,0,6,1
1222026756,,Sunflower,Eclipse,eclipsebuscap.com,1,0,0,1
2218483819,,Sunflower,Encore Bank,bankencore.com,1,0,1,0
7453291203,,Sunflower,Enterprise Bank,enterprisebank.com,3,1,1,1
8319435092,,Sunflower,Equity Bank,equitybank.com,1,0,1,0
858248159,,Sunflower,Extraco Bank,extracobanks.com,1,0,1,0
2095601186,,Sunflower,Fifth Third Bank,53.com,4,0,3,1
5500809303,,Sunflower,First Bank & Trust,bankeasy.com,1,0,1,0
4180478598,,Sunflower,First Business,firstbusiness.bank,1,0,1,0
9813697778,,Sunflower,First Citizens,firstcitizens.com,2,0,2,0
1561538108,,Sunflower,First Fidelity Bank,ffb.com,0,0,0,0
7454581748,,Sunflower,First Financial,ffin.com,3,0,2,1
1247281291,,Sunflower,First Foundation Bank,ff-inc.com,10,2,6,2
2567043059,,Sunflower,First Horizon Bank,firsthorizon.com,3,0,1,2
5373260814,,Sunflower,First Merchants Bank,firstmerchants.com,1,0,0,1
5142839519,,Sunflower,First National Bank of Hutchinson,fnbhutch.bank,1,0,1,0
2585777512,,Sunflower,First Option Bank,firstoptionbank.com,2,1,1,0
5108747186,,Sunflower,Flagstar Bank,flagstar.com,2,0,1,1
152823143,,Sunflower,FNBO,fnbo.com,1,0,1,0
2393367823,,Sunflower,Foothills Bank,foothillsbank.com,0,0,0,0
7748076891,,Sunflower,Forbright Bank,forbrightbank.com,2,0,2,0
3279007895,,Sunflower,Georgia Banking,georgiabanking.com,2,0,2,0
4660338038,,Sunflower,Goldman Sachs,gs.com,1,0,1,0
3502551034,,Sunflower,Grasshopper Bank,grasshopper.bank,2,0,1,1
9069151249,,Sunflower,Great American Bank,greatambank.com,1,0,1,0
1582537656,,Sunflower,Great Plains Bank,gpbanktx.net,0,0,0,0
1723034722,,Sunflower,Guggenheim Partners,guggenheimpartners.com,1,0,1,0
6723719342,,Sunflower,Hancock Whitney,hancockwhitney.com,9,1,5,3
4026264709,,Sunflower,Hanmi,hanmi.com,1,0,1,0
7420867913,,Sunflower,Hawthorn Bank,hawthornbank.com,1,0,0,1
4523741676,,Sunflower,Heartland,htlf.com,0,0,0,0
5917930236,,Sunflower,Hillcrest Bank,hillcrestbank.com,1,0,1,0
2640322431,,Sunflower,Homestreet Bank,homestreet.com,1,0,1,0
1666175033,,Sunflower,HTLF,htlf.com,2,0,2,0
79918335,,Sunflower,Huntington Bank,huntington.com,4,0,4,0
8648451677,,Sunflower,Independent Bank,ifinancial.com,3,0,3,0
1003634436,,Sunflower,Inter Bank,interbank.com,1,0,1,0
4528354565,,Sunflower,Intrust Bank,INTRUSTBANK.COM,4,0,4,0
6015904043,,Sunflower,Inwood National Bank,inwoodbank.com,1,0,0,1
2114684939,,Sunflower,Ivy Asset Group,ivyassetgroup.com,1,0,0,1
27744944,,Sunflower,JP Morgan Chase,jpmorgan.com,2,1,0,1
2981511937,,Sunflower,Kirkpatrick Bank,kirkpatrickbank.com,1,0,0,1
170700156,,Sunflower,Live Oak Bank,liveoak.bank,5,0,5,0
6611180014,,Sunflower,Lone Star Bank,lonestarnationalbank.com,1,0,0,1
4003517825,,Sunflower,M&T Bank,mtb.com,2,0,2,0
4893002673,,Sunflower,Manufacturers Bank,manubank.com,7,0,5,2
1020325999,,Sunflower,Memphis Capital,memphiscapital.com,2,0,2,0
5135430416,,Sunflower,MidFirst,midfirst.com,5,0,2,3
5692686078,,Sunflower,Mizuho,mizuhogroup.com,1,0,1,0
5437599434,,Sunflower,MUFG,us.mufg.jp,1,0,1,0
1813881714,,Sunflower,NBH Bank,nbhbank.com,3,0,2,1
2076545102,,Sunflower,NBKC,nbkc.com,1,0,0,1
6300517814,,Sunflower,NexBank,nexbank.com,1,0,1,0
3381320069,,Sunflower,Northpoint,northpointcf.com,1,0,1,0
9625945696,,Sunflower,Northwest Bank,northwest.com,1,0,1,0
5979934852,,Sunflower,Oakwood Bank,b1bank.com,5,0,3,2
615823533,,Sunflower,Old National Bank,OldNational.com,3,0,3,0
8383903767,,Sunflower,Old Second,oldsecond.com,5,0,5,0
8149848616,,Sunflower,Old Second National,oldsecond.com,1,0,1,0
9213932709,,Sunflower,Origin Bank,origin.bank,6,0,6,0
869294226,,Sunflower,Pac West,gmail.com,1,0,1,0
5595876456,,Sunflower,Pacific Premier Bancorp,opusbank.com,1,0,0,1
9786012062,,Sunflower,Park Cities Asset Management,parkcitiesmgmt.com,1,1,0,0
3526736611,,Sunflower,Pathward Bank,pathward.com,1,0,1,0
8753988328,,Sunflower,Pegasus Bank,pegasus.bank,2,0,2,0
5155957739,,Sunflower,Peoples National,peoplesnationalbank.com,1,0,1,0
9043767481,,Sunflower,Pinnacle Bank,pnfp.com,3,0,0,3
2647308597,,Sunflower,Pioneer Bank,pioneer.bank,0,0,0,0
8997390168,,Sunflower,Plains Capital,plainscapital.com,1,0,1,0
5323624334,,Sunflower,Platform Ventures,platformv.com,1,0,0,1
302055159,,Sunflower,Popular Bank,popular.com,1,0,1,0
1806446496,,Sunflower,Preferred Bank,preferredbank.com,1,0,1,0
7263509065,,Sunflower,Prosperity Bank,prosperitybankusa.com,3,0,3,0
7726229772,,Sunflower,Regions Bank,regions.com,2,0,1,1
8703660923,,Sunflower,Renasant Bank,renasant.com,1,0,1,0
511212455,,Sunflower,Royal Bank of Canada,rbccm.com,1,0,1,0
1209115995,,Sunflower,RRA,rracapital.com,1,0,0,1
4716762839,,Sunflower,SC Fund Management,scfundmanagement.com,1,0,0,1
6419819753,,Sunflower,SDC Funds,stratcap.com,1,0,0,1
9197047629,,Sunflower,Seacoast Bank,seacoastbank.com,3,0,2,1
350508589,,Sunflower,Security National Bank,snbtexas.com,1,0,1,0
6603121849,,Sunflower,Siemens,siemens.com,8,0,6,2
2400396127,,Sunflower,Simmons Bank,simmonsbank.com,2,0,2,0
5807510415,,Sunflower,Solea Energy,soleaenergy.com,1,0,0,1
4794494466,,Sunflower,Southside Bank,southside.com,3,0,3,0
1151458622,,Sunflower,SouthState Bank,southstatebank.com,1,0,1,0
1135178551,,Sunflower,Standard Chartered,sc.com,1,0,1,0
6611502327,,Sunflower,Stinson LLP,stinson.com,1,0,0,1
6235132451,,Sunflower,Susser Bank,susserbank.com,7,0,6,1
3760741422,,Sunflower,Synovus Bank,synovus.com,3,0,2,1
9955205115,,Sunflower,TAB Bank,tabbank.com,1,0,1,0
8118765589,,Sunflower,TD Securities,tdsecurities.com,3,1,1,1
7970564015,,Sunflower,Texas Bank,firstamb.com,0,0,0,0
7209736002,,Sunflower,Texas Capital Bank,texascapital.com,9,1,4,4
4115211856,,Sunflower,Texas Community Bank,tx-communitybank.com,0,0,0,0
4247985079,,Sunflower,Texas Security Bank,texassecuritybank.com,2,0,1,1
4363776437,,Sunflower,Third Coast Bank,tcbssb.com,6,0,3,3
3707427139,,Sunflower,TIB,tib.bank,1,0,0,1
5388501037,,Sunflower,Tri Counties Bank,tcbk.com,1,0,1,0
4772463102,,Sunflower,Triumph Bank,tbkbank.com,3,0,2,1
2501292958,,Sunflower,Truist Bank,truist.com,3,0,3,0
2729847352,,Sunflower,Trustmark Bank,trustmark.com,4,0,4,0
2344894358,,Sunflower,UMB,umb.com,4,0,4,0
8973046164,,Sunflower,Umpqua Bank,umpquabank.com,1,0,1,0
5211952477,,Sunflower,Union Bank,ubt.com,1,0,1,0
44074089,,Sunflower,United Community Bank,ucbi.com,1,0,1,0
4290247664,,Sunflower,US Century Bank,uscentury.com,1,0,1,0
2155010376,,Sunflower,Valley National Bank,valley.com,6,0,5,1
3643382637,,Sunflower,Vantage Law,vantage.law,2,0,0,2
3704386846,,Sunflower,Veritex Bank,veritexbank.com,5,0,5,0
1345623479,,Sunflower,Vista Bank,vistabank.com,4,0,3,1
6908024935,,Sunflower,Webster Bank,websterbank.com,3,0,2,1
7300528408,,Sunflower,Wells Fargo,wellsfargo.com,1,0,1,0
4667730306,,Sunflower,Western Alliance,walsf.com,4,0,4,0
